<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,30,231208,100000,266.01,267.46,265.5,266.66,4815620
SBER,30,231208,103000,266.66,267.42,266.38,266.55,2620420
SBER,30,231208,110000,266.55,267.88,266.48,267.51,2126300
SBER,30,231208,113000,267.5,268.23,267.5,267.65,2597940
SBER,30,231208,120000,267.65,267.66,266.72,267.22,1364820
SBER,30,231208,123000,267.21,267.79,267.17,267.64,683340
SBER,30,231208,130000,267.64,267.83,266.9,266.9,1047420
SBER,30,231208,133000,266.9,267.25,266.14,266.74,1106900
SBER,30,231208,140000,266.74,266.74,265.58,266.31,1432710
SBER,30,231208,143000,266.26,266.58,266.01,266.05,569770
SBER,30,231208,150000,266.06,266.2,264.75,265.16,2568630
SBER,30,231208,153000,265.2,265.55,264.8,265.06,1187550
SBER,30,231208,160000,265.07,265.07,263.72,264.04,3482960
SBER,30,231208,163000,264.03,264.82,264,264.8,1261450
SBER,30,231208,170000,264.81,265.4,264.53,264.56,1207620
SBER,30,231208,173000,264.57,265.09,264.5,264.73,633520
SBER,30,231208,180000,264.73,264.86,264.22,264.32,815830
SBER,30,231208,183000,264.33,265.3,263.89,265.3,2563210
SBER,30,231208,190000,265.23,265.23,264.71,264.71,808270
SBER,30,231208,193000,264.72,265.09,264.54,264.97,348440
SBER,30,231208,200000,264.97,265,264.7,264.91,220190
SBER,30,231208,203000,264.92,265,264.74,264.92,270700
SBER,30,231208,210000,264.94,264.98,264.8,264.83,104400
SBER,30,231208,213000,264.84,265.12,264.68,264.87,483640
SBER,30,231208,220000,264.87,265.4,264.83,265.35,345290
SBER,30,231208,223000,265.35,265.35,264.85,265.04,192620
SBER,30,231208,230000,265.04,265.13,264.93,265.06,218070
SBER,30,231208,233000,265.05,265.2,265,265.16,244500
SBER,30,231211,100000,265.17,266.47,262.2,263.49,7865890
SBER,30,231211,103000,263.5,263.73,262.28,262.36,3154170
SBER,30,231211,110000,262.36,262.5,261,262.3,7656460
SBER,30,231211,113000,262.3,262.78,261.7,262.03,1879760
SBER,30,231211,120000,262.03,262.62,260.3,260.67,4040530
SBER,30,231211,123000,260.67,261.1,260.24,260.86,2593360
SBER,30,231211,130000,260.86,261.4,260.4,260.4,1941980
SBER,30,231211,133000,260.4,260.8,259.7,259.73,3378830
SBER,30,231211,140000,259.75,260.46,258.4,258.96,5461960
SBER,30,231211,143000,258.96,259.32,258,258.4,4490520
SBER,30,231211,150000,258.4,259.28,258.1,258.59,2399410
SBER,30,231211,153000,258.56,258.88,256.82,257.15,5285110
SBER,30,231211,160000,257.14,257.9,255.86,257.72,7803490
SBER,30,231211,163000,257.72,258.39,257.24,257.62,3517080
SBER,30,231211,170000,257.62,258.6,257.55,257.88,2054650
SBER,30,231211,173000,257.88,258.18,257.23,257.62,1714800
SBER,30,231211,180000,257.66,257.66,256.58,256.82,2444850
SBER,30,231211,183000,256.87,257.49,256.7,257.2,1653870
SBER,30,231211,190000,256.99,256.99,255,255.55,2119740
SBER,30,231211,193000,255.54,256.48,254.81,256,2377720
SBER,30,231211,200000,256,256.65,256,256.29,767590
SBER,30,231211,203000,256.32,256.82,256.27,256.61,493170
SBER,30,231211,210000,256.62,256.65,256.22,256.31,384630
SBER,30,231211,213000,256.28,256.35,256.05,256.21,411440
SBER,30,231211,220000,256.21,256.68,256.2,256.48,325630
SBER,30,231211,223000,256.48,256.9,256.43,256.9,309040
SBER,30,231211,230000,256.9,257.48,256.71,257,742740
SBER,30,231211,233000,257,257.09,256.68,256.89,322030
